"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Pecs","Apr 12, 2026, 12:29 PM","Apr 12, 2026, 2:01 PM","","Incline Bench Press (Smith Machine)",,"",0,"normal",60,8,,,
"Pecs","Apr 12, 2026, 12:29 PM","Apr 12, 2026, 2:01 PM","","Incline Bench Press (Smith Machine)",,"",1,"normal",60,6,,,
"Pecs","Apr 12, 2026, 12:29 PM","Apr 12, 2026, 2:01 PM","","Incline Bench Press (Smith Machine)",,"",2,"normal",55,8,,,
"Pecs","Apr 12, 2026, 12:29 PM","Apr 12, 2026, 2:01 PM","","Incline Bench Press (Smith Machine)",,"",3,"normal",55,7,,,
"Pecs","Apr 12, 2026, 12:29 PM","Apr 12, 2026, 2:01 PM","","Iso-Lateral Chest Press (Machine)",,"",0,"normal",75,10,,,
"Pecs","Apr 12, 2026, 12:29 PM","Apr 12, 2026, 2:01 PM","","Iso-Lateral Chest Press (Machine)",,"",1,"normal",75,7,,,
"Pecs","Apr 12, 2026, 12:29 PM","Apr 12, 2026, 2:01 PM","","Iso-Lateral Chest Press (Machine)",,"",2,"normal",70,7,,,
"Pecs","Apr 12, 2026, 12:29 PM","Apr 12, 2026, 2:01 PM","","Iso-Lateral Chest Press (Machine)",,"",3,"normal",70,8,,,
"Pecs","Apr 12, 2026, 12:29 PM","Apr 12, 2026, 2:01 PM","","Butterfly (Pec Deck)",,"",0,"normal",25,9,,,
"Pecs","Apr 12, 2026, 12:29 PM","Apr 12, 2026, 2:01 PM","","Butterfly (Pec Deck)",,"",1,"normal",20,9,,,
"Pecs","Apr 12, 2026, 12:29 PM","Apr 12, 2026, 2:01 PM","","Butterfly (Pec Deck)",,"",2,"normal",20,8,,,
"Pecs","Apr 12, 2026, 12:29 PM","Apr 12, 2026, 2:01 PM","","Butterfly (Pec Deck)",,"",3,"normal",20,8,,,
"Pecs","Apr 12, 2026, 12:29 PM","Apr 12, 2026, 2:01 PM","","Cable Fly Crossovers",,"",0,"normal",10,10,,,
"Pecs","Apr 12, 2026, 12:29 PM","Apr 12, 2026, 2:01 PM","","Cable Fly Crossovers",,"",1,"normal",10,10,,,
"Pecs","Apr 12, 2026, 12:29 PM","Apr 12, 2026, 2:01 PM","","Cable Fly Crossovers",,"",2,"normal",7.5,10,,,
"Pecs","Apr 12, 2026, 12:29 PM","Apr 12, 2026, 2:01 PM","","Cable Fly Crossovers",,"",3,"normal",7.5,10,,,
"Pecs / épaules / triceps","Apr 10, 2026, 6:37 PM","Apr 10, 2026, 8:36 PM","","Incline Bench Press (Smith Machine)",,"",0,"normal",60,10,,,
"Pecs / épaules / triceps","Apr 10, 2026, 6:37 PM","Apr 10, 2026, 8:36 PM","","Incline Bench Press (Smith Machine)",,"",1,"normal",60,8,,,
"Pecs / épaules / triceps","Apr 10, 2026, 6:37 PM","Apr 10, 2026, 8:36 PM","","Incline Bench Press (Smith Machine)",,"",2,"normal",60,6,,,
"Pecs / épaules / triceps","Apr 10, 2026, 6:37 PM","Apr 10, 2026, 8:36 PM","","Incline Bench Press (Smith Machine)",,"",3,"normal",55,8,,,
"Pecs / épaules / triceps","Apr 10, 2026, 6:37 PM","Apr 10, 2026, 8:36 PM","","Iso-Lateral Chest Press (Machine)",,"",0,"normal",70,9,,,
"Pecs / épaules / triceps","Apr 10, 2026, 6:37 PM","Apr 10, 2026, 8:36 PM","","Iso-Lateral Chest Press (Machine)",,"",1,"normal",70,8,,,
"Pecs / épaules / triceps","Apr 10, 2026, 6:37 PM","Apr 10, 2026, 8:36 PM","","Iso-Lateral Chest Press (Machine)",,"",2,"normal",70,8,,,
"Pecs / épaules / triceps","Apr 10, 2026, 6:37 PM","Apr 10, 2026, 8:36 PM","","Iso-Lateral Chest Press (Machine)",,"",3,"normal",65,8,,,
"Pecs / épaules / triceps","Apr 10, 2026, 6:37 PM","Apr 10, 2026, 8:36 PM","","Butterfly (Pec Deck)",,"",0,"normal",25,6,,,
"Pecs / épaules / triceps","Apr 10, 2026, 6:37 PM","Apr 10, 2026, 8:36 PM","","Butterfly (Pec Deck)",,"",1,"normal",20,8,,,
"Pecs / épaules / triceps","Apr 10, 2026, 6:37 PM","Apr 10, 2026, 8:36 PM","","Butterfly (Pec Deck)",,"",2,"normal",20,9,,,
"Pecs / épaules / triceps","Apr 10, 2026, 6:37 PM","Apr 10, 2026, 8:36 PM","","Butterfly (Pec Deck)",,"",3,"normal",20,9,,,
"Pecs / épaules / triceps","Apr 10, 2026, 6:37 PM","Apr 10, 2026, 8:36 PM","","Overhead Press (Dumbbell)",,"",0,"normal",22,10,,,
"Pecs / épaules / triceps","Apr 10, 2026, 6:37 PM","Apr 10, 2026, 8:36 PM","","Overhead Press (Dumbbell)",,"",1,"normal",22,9,,,
"Pecs / épaules / triceps","Apr 10, 2026, 6:37 PM","Apr 10, 2026, 8:36 PM","","Overhead Press (Dumbbell)",,"",2,"normal",22,7,,,
"Pecs / épaules / triceps","Apr 10, 2026, 6:37 PM","Apr 10, 2026, 8:36 PM","","Overhead Press (Dumbbell)",,"",3,"normal",20,8,,,
"Pecs / épaules / triceps","Apr 10, 2026, 6:37 PM","Apr 10, 2026, 8:36 PM","","Lateral Raise (Cable)",,"",0,"normal",7.5,10,,,
"Pecs / épaules / triceps","Apr 10, 2026, 6:37 PM","Apr 10, 2026, 8:36 PM","","Lateral Raise (Cable)",,"",1,"normal",5,10,,,
"Pecs / épaules / triceps","Apr 10, 2026, 6:37 PM","Apr 10, 2026, 8:36 PM","","Lateral Raise (Cable)",,"",2,"normal",7.5,10,,,
"Pecs / épaules / triceps","Apr 10, 2026, 6:37 PM","Apr 10, 2026, 8:36 PM","","Lateral Raise (Cable)",,"",3,"normal",5,10,,,
"Pecs / épaules / triceps","Apr 10, 2026, 6:37 PM","Apr 10, 2026, 8:36 PM","","Lateral Raise (Cable)",,"",4,"normal",7.5,10,,,
"Pecs / épaules / triceps","Apr 10, 2026, 6:37 PM","Apr 10, 2026, 8:36 PM","","Lateral Raise (Cable)",,"",5,"normal",5,10,,,
"Pecs / épaules / triceps","Apr 10, 2026, 6:37 PM","Apr 10, 2026, 8:36 PM","","Lateral Raise (Cable)",,"",6,"normal",2.5,10,,,
"Pecs / épaules / triceps","Apr 10, 2026, 6:37 PM","Apr 10, 2026, 8:36 PM","","Triceps Pushdown",0,"",0,"normal",27.5,10,,,
"Pecs / épaules / triceps","Apr 10, 2026, 6:37 PM","Apr 10, 2026, 8:36 PM","","Triceps Pushdown",0,"",1,"normal",27.5,8,,,
"Pecs / épaules / triceps","Apr 10, 2026, 6:37 PM","Apr 10, 2026, 8:36 PM","","Triceps Pushdown",0,"",2,"normal",25,10,,,
"Pecs / épaules / triceps","Apr 10, 2026, 6:37 PM","Apr 10, 2026, 8:36 PM","","Overhead Triceps Extension (Cable)",0,"",0,"normal",12.5,10,,,
